pclass,survived,name,sex,age
1,1, Miss. Elisabeth Walton,female,29
1,1, Master. Hudson Trevor,male,0
1,0, Miss. Helen Loraine,female,2
1,0, Mr. Hudson Joshua Creighton,male,30
1,0, Mrs. Hudson J C (Bessie Waldo Daniels),female,25
1,1, Mr. Harry,male,48
1,1, Miss. Kornelia Theodosia,female,63
1,0, Mr. Thomas Jr,male,39
1,1, Mrs. Edward Dale (Charlotte Lamson),female,53
1,0, Mr. Ramon,male,71
1,0, Col. John Jacob,male,47
1,1, Mrs. John Jacob (Madeleine Talmadge Force),female,18
1,1, Mme. Leontine Pauline,female,24
1,1,"Barber, Miss. Ellen ""Nellie""",female,26
1,1, Mr. Algernon Henry Wilson,male,80
1,0, Mr. John D,male,
1,0, Mr. Quigg Edmond,male,24
1,1, Mrs. James (Helene DeLaudeniere Chaput),female,50
1,1, Miss. Albina,female,32
1,0, Mr. Thomson,male,36
1,1, Mr. Richard Leonard,male,37
1,1, Mrs. Richard Leonard (Sallie Monypeny),female,47
1,1, Mr. Karl Howell,male,26
1,1, Miss. Rosalie,female,42
1,1, Miss. Ellen,female,29
1,0, Mr. Jakob,male,25
1,1, Mr. Dickinson H,male,25
1,1, Mrs. Dickinson H (Helen Walton),female,19
1,1, Miss. Amelia,female,35
1,1, Mr. Mauritz Hakan,male,28
1,0, Mr. Stephen Weart,male,45
1,1, Mr. Henry,male,40
1,1, Miss. Caroline,female,30
1,1, Miss. Elizabeth,female,58
1,0, Mr. John James,male,42
1,1, Miss. Grace Scott,female,45
1,1, Miss. Elsie Edith,female,22
1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,
1,0, Mr. John Bertram,male,41
1,0, Mr. Emil,male,48
1,0, Dr. Arthur Jackson,male,
1,1, Mrs. James Joseph (Margaret Tobin),female,44
1,1, Mrs. John Murray (Caroline Lane Lamson),female,59
1,1, Mrs. William Robert (Emma Eliza Ward),female,60
1,1, Miss. Elizabeth Margaret,female,41
1,0, Major. Archibald Willingham,male,45
1,0, Mr. Alexander,male,
1,1, Mr. Edward Pennington,male,42
1,1, Mrs. Edward (Helen Churchill Hungerford),female,53
1,1, Mr. Thomas Drake Martinez,male,36
1,1, Mrs. James Warburton Martinez (Charlotte Wardle Drake),female,58
1,0, Mr. Frans Olof,male,33
1,0, Mr. Francisco M,male,28
1,0, Mr. Jose Pedro,male,17
1,1, Master. William Thornton II,male,11
1,1, Miss. Lucile Polk,female,14
1,1, Mr. William Ernest,male,36
1,1, Mrs. William Ernest (Lucile Polk),female,36
1,0, Mr. Howard Brown,male,49
1,1, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick),female,
1,0, Mr. Tyrell William,male,36
1,1, Mrs. Tyrell William (Julia Florence Siegel),female,76
1,0, Mr. Herbert Fuller,male,46
1,1, Mrs. Herbert Fuller (Carrie Constance Toogood),female,47
1,1, Mr. Norman Campbell,male,27
1,1, Mrs. Norman Campbell (Bertha Griggs),female,33
1,1, Miss. Victorine,female,36
1,1, Miss. Gladys,female,30
1,1, Mr. Paul Romaine,male,45
1,1, Mrs. (Edith Martha Bowerman),female,
1,0, Mr. Roderick Robert Crispin,male,
1,0, Mr. Walter Miller,male,27
1,1, Mrs. Walter Miller (Virginia McDowell),female,26
1,1, Miss. Alice,female,22
1,0, Mr. George Quincy,male,
1,0, Mr. Edward Pomeroy,male,47
1,1, Miss. Sara Rebecca,female,39
1,0, Mr. Alexander Taylor Jr,male,37
1,1, Mrs. Alexander Taylor (Mary Eliza Ingersoll),female,64
1,1, Mrs. Robert Clifford (Malvina Helen Lamson),female,55
1,0, Mr. John Bertram,male,
1,0, Capt. Edward Gifford,male,70
1,1, Miss. Harriet R,female,36
1,1, Mrs. Edward Gifford (Catherine Elizabeth Halstead),female,64
1,0, Mr. John Bradley,male,39
1,1, Mrs. John Bradley (Florence Briggs Thayer),female,38
1,1, Mr. Peter Denis ,male,51
1,1, Mr. Robert Williams,male,27
1,1, Miss. Sarah,female,33
1,0, Mr. Thornton,male,31
1,1, Mrs. Thornton (Orian Hays),female,27
1,1, Mr. Albert Adrian,male,31
1,1, Mrs. Albert Adrian (Vera Gillespie),female,17
1,1, Dr. Washington,male,53
1,1, Master. Washington,male,4
1,1, Mrs. Washington (Ruth Vidaver),female,54
1,0, Mr. Walter Donald,male,50
1,1, Mrs. Frederick Charles (Mary Helene Baxter),female,27
1,1, Mrs. Walter Donald (Mahala Dutton),female,48
1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) ",female,48
1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49
1,0, Mr. William Crothers,male,39
1,1, Mrs. Boulton (Olive Potter),female,23
1,1, Miss. Caroline Louise,female,38
1,1, Miss. Elizabeth Mussey,female,54
1,0, Miss. Edith Corse,female,36
1,0, Mr. John,male,
1,1, Mrs. Alfred (Antoinette),female,
1,1, Miss. Margaret,female,
1,1,"Flynn, Mr. John Irwin (""Irving"")",male,36
1,0, Mr. Benjamin Laventall,male,30
1,1, Miss. Alice Elizabeth,female,24
1,1, Miss. Ethel Flora,female,28
1,1, Miss. Mabel Helen,female,23
1,0, Mr. Charles Alexander,male,19
1,0, Mr. Mark,male,64
1,1, Mrs. Mark (Mary McDougald),female,60
1,1, Miss. Laura Mabel,female,30
1,0, Mr. Thomas Parham,male,
1,1, Dr. Henry William,male,50
1,1, Mr. Isaac Gerald,male,43
1,1, Mrs. Henry William (Clara Heinsheimer),female,
1,1, Miss. Hedwig Margaritha,female,22
1,1, Mr. Maxmillian,male,60
1,1, Mrs. Maxmillian (Margaretha Emerentia Stehli),female,48
1,0, Mr. Richard,male,
1,0, Mr. Jacques Heath,male,37
1,1, Mrs. Jacques Heath (Lily May Peel),female,35
1,0, Mr. Arthur H,male,47
1,1, Miss. Amalie,female,35
1,1, Miss. Dorothy Winifred,female,22
1,1, Mrs. Leonard (Pauline C Boeson),female,45
1,0, Mr. Victor,male,24
1,1, Mr. Samuel L,male,49
1,1, Mrs. Samuel L (Edwiga Grabowska),female,
1,0, Mr. George B,male,71
1,1, Col. Archibald IV,male,53
1,1, Miss. Margaret Edith,female,19
1,0, Mr. George Edward,male,38
1,1, Mrs. William Thompson (Edith Junkins),female,58
1,1, Mr. William Bertram,male,23
1,1, Mrs. Leo David (Blanche Strouse),female,45
1,0, Mr. Benjamin,male,46
1,1, Mr. George Achilles,male,25
1,1, Mrs. George Achilles (Dorothy Annan),female,25
1,1, Mr. Henry Sleeper,male,48
1,1, Mrs. Henry Sleeper (Myna Haxtun),female,49
1,0, Mr. Charles H,male,
1,0, Mr. Henry Birkhardt,male,45
1,1, Mrs. Henry Birkhardt (Irene Wallach),female,35
1,0, Mr. William,male,40
1,1, Mr. Hammad,male,27
1,1, Mr. Walter James,male,
1,1, Miss. Margaret Bechstein,female,24
1,0, Mr. Charles Melville,male,55
1,1, Mrs. Charles Melville (Clara Jennings Gregg),female,52
1,0, Mr. Christopher,male,42
1,0, Mr. Herbert Henry,male,
1,0, Mr. William Edward,male,55
1,1, Miss. Jean Gertrude,female,16
1,1, Mrs. Louis Albert (Ida Sophia Fischer),female,44
1,1, Mrs. John C (Anna Andrews),female,51
1,0, Mr. Alexander Oskar,male,42
1,1, Mrs. Alexander Oskar (Mary Aline Towner),female,35
1,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35
1,1, Mr. Frederick Maxfield,male,38
1,0, Mr. William Fisher,male,
1,1, Mrs. Frederick Maxfield (Jane Anne Forby),female,35
1,1, Miss. Amelie,female,38
1,0, Miss. Ann Elizabeth,female,50
1,1, Mr. Joseph Bruce,male,49
1,0, Mr. Charles Cresson,male,46
1,0, Mr. Henry Forbes,male,50
1,0, Mr. Edwin,male,32
1,0, Mr. Edward Austin,male,58
1,0, Mr. Frederick R,male,41
1,1, Mrs. Frederick R (Marion),female,
1,1, Mr. Edwin Nelson Jr,male,42
1,1, Mrs. Edwin Nelson Jr (Gertrude Parsons),female,45
1,0, Mr. Herman,male,
1,1, Miss. Emilie,female,39
1,1, Dr. Alice (Farnham),female,49
1,1, Miss. Bertha,female,30
1,1, Mr. Gustave J,male,35
1,0, Mr. Ervin G,male,
1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,42
1,1, Mrs. Carl Johan (Sigrid Posse),female,55
1,1, Miss. Mary Conover,female,16
1,1, Mrs. Ernest H (Elizabeth Lindsey James),female,51
1,0, Mr. Milton Clyde,male,29
1,1, Miss. Gretchen Fiske,female,21
1,0, Mr. Joseph Holland,male,30
1,1, Miss. Elise,female,58
1,1, Miss. Georgette Alexandra,female,15
1,0, Mr. John Edward,male,30
1,1, Miss. Roberta,female,16
1,1, Mr. Pierre,male,
1,0, Mr. Daniel Warner,male,19
1,1, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson),female,18
1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24
1,0, Mr. Thomas Francis,male,46
1,0, Mr. Timothy J,male,54
1,1, Mr. James Robert,male,36
1,0, Mr. Edgar Joseph,male,28
1,1, Mrs. Edgar Joseph (Leila Saks),female,
1,0, Mr. Francis Davis,male,65
1,0, Dr. William Edward,male,44
1,1, Miss. Daisy E,female,33
1,1, Mrs. William Edward (Lillian E Thorpe),female,37
1,1, Mr. Philipp Edmund,male,30
1,0, Mr. Harry Markland,male,55
1,0, Mr. Clarence Bloomfield,male,47
1,0, Mr. Charles H,male,37
1,1, Miss. Madeleine,female,31
1,1, Miss. Marjorie,female,23
1,0, Mr. Arthur Webster,male,58
1,1, Miss. Helen Monypeny,female,19
1,0, Mr. Arthur Ernest,male,64
1,1, Dona. Fermina,female,39
1,1, Mr. Alfred Fernand,male,
1,1, Miss. Helene Ragnhild,female,22
1,0, Mr. Engelhart Cornelius,male,65
1,0, Mr. Servando,male,28
1,0, Mr. William Henry Marsh,male,
1,0, Mr. Austen,male,45
1,0, Mr. Vivian Ponsonby,male,23
1,0, Mr. Thomas Clinton,male,29
1,1, Mrs. Thomas (Edith Wearne),female,22
1,0, Mr. Victor de Satode,male,18
1,1, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo),female,17
1,1, Miss. Anne,female,30
1,1, Major. Arthur Godfrey,male,52
1,0, Mr. Walter Chamberlain,male,47
1,1, Mrs. Thomas Jr (Lily Alexenia Wilson),female,56
1,0, Jonkheer. John George,male,38
1,1, Mr. George Alexander Lucien,male,
1,0, Mr. Sante,male,22
1,0, Mr. Victor,male,
1,1, Mrs. Edward Scott (Elisabeth Walton McMillan),female,43
1,0, Mr. Washington Augustus II,male,31
1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45
1,0, Mr. Hugh Roscoe,male,
1,1, Miss. Edith Louise,female,33
1,0,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,46
1,0, Mr. John Hugo,male,36
1,1, the Countess. of (Lucy Noel Martha Dyer-Edwards),female,33
1,0, Mr. Martin,male,55
1,1, Mrs. Martin (Elizabeth L. Barrett),female,54
1,0, Mr. Alfred G,male,33
1,1, Master. John Borie,male,13
1,1, Miss. Emily Borie,female,18
1,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,21
1,0, Mr. Arthur Larned,male,61
1,1, Mrs. Arthur Larned (Emily Maria Borie),female,48
1,1, Mr. Adolphe,male,
1,1, Mlle. Emma,female,24
1,1, Mr. Abraham L,male,
1,1, Mrs. Paul (Emma Mock),female,35
1,1, Miss. Augusta,female,30
1,1, Mr. Frederic Kimber,male,34
1,1, Miss. Elizabeth W,female,40
1,1, Mr. Spencer Victor,male,35
1,0, Mr. William Baird,male,50
1,1, Mrs. William Baird (Alice Munger),female,39
1,1, Col. Oberst Alfons,male,56
1,1, Mr. William Thompson,male,28
1,0, Mr. John Montgomery,male,56
1,0, Mr. James Clinch,male,56
1,0, Mr. Lucien Philip,male,24
1,0, Mr. Richard William,male,
1,1, Mrs. Lucien Philip (Mary Eloise Hughes),female,18
1,1, Mr. John Pillsbury,male,24
1,1, Mrs. John Pillsbury (Nelle Stevenson),female,23
1,1, Master. Robert Douglas,male,6
1,1, Mr. Frederic Oakley,male,45
1,1, Mrs. Frederic Oakley (Margaretta Corning Stone),female,40
1,0, Mr. William Augustus,male,57
1,1, Mrs. William Augustus (Marie Eugenie),female,
1,1, Dr. Max,male,32
1,0, Mr. William Thomas,male,62
1,1, Mr. Charles Emil Henry,male,54
1,1, Mrs. Charles Emil Henry (Annie May Morris),female,43
1,1, Mrs. Walter Bertram (Martha Eustis),female,52
1,0, Mr. Albert A,male,
1,1, Mrs. George Nelson (Martha Evelyn),female,62
1,0, Mr. Isidor,male,67
1,0, Mrs. Isidor (Rosalie Ida Blun),female,63
1,0, Mr. Frederick,male,61
1,1, Mrs. Frederick Joel (Margaret Welles Barron),female,48
1,1, Miss. Ruth,female,18
1,0, Mr. Emil,male,52
1,1, Mrs. Emil (Tillie Mandelbaum),female,39
1,1, Mr. Elmer Zebley,male,48
1,1, Mrs. Elmer Zebley (Juliet Cummins Wright),female,
1,0, Mr. John Borland,male,49
1,1, Mr. John Borland Jr,male,17
1,1, Mrs. John Borland (Marian Longstreth Morris),female,39
1,1, Mrs. Gertrude Maybelle,female,
1,1, Mr. Gilbert Milligan Jr,male,31
1,0, Don. Manuel E,male,40
1,0, Mr. Wyckoff,male,61
1,0, Mr. William Anderson,male,47
1,1, Miss. Anna,female,35
1,0, Mr. Frank Manley,male,64
1,1, Mrs. Frank Manley (Anna Sophia Atkinson),female,60
1,0, Col. John,male,60
1,0, Mr. Percival Wayland,male,54
1,0, Mr. Richard Frasar,male,21
1,1, Mrs. John Stuart (Ella Holmes),female,55
1,1, Miss. Mary Natalie,female,31
1,0, Mr. George Dennick,male,57
1,1, Mrs. George Dennick (Mary Hitchcock),female,45
1,0, Mr. George Dunton,male,50
1,0, Mr. Harry Elkins,male,27
1,1, Mrs. George Dunton (Eleanor Elkins),female,50
1,1, Miss. Constance,female,21
1,0, Mr. Charles Duane,male,51
1,1, Mr. Richard Norris II,male,21
1,0, Mr. Fletcher Fellows,male,
1,1, Miss. Helen Alice,female,31
1,1, Mr. Hugh,male,
1,0, Mr. George,male,62
1,1, Miss. Marie Grice,female,36
2,0, Mr. Samuel,male,30
2,1, Mrs. Samuel (Hannah Wizosky),female,28
2,0, Mr. Charles Augustus,male,30
2,0, Mr. Edgardo Samuel,male,18
2,0, Mr. Frank Thomas,male,25
2,0, Mr. William A,male,34
2,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)female",female,36
2,0, Mr. John,male,57
2,0, Mr. Percy Andrew,male,18
2,0, Mr. Charles Robert,male,23
2,1, Mrs. (Ada E Hall),female,36
2,0, Mr. Frederick James,male,28
2,0, Rev. Robert James,male,51
2,1, Mr. Edward,male,32
2,1, Mrs. Edward (Ethel Clarke),female,19
2,0, Mr. Henry James,male,28
2,1, Master. Richard F,male,1
2,1, Miss. Marion Louise,female,4
2,1, Miss. Ruth Elizabeth,female,12
2,1, Mrs. Allen Oliver (Nellie E Baumgardner),female,36
2,1, Mr. Lawrence,male,34
2,1, Miss. Lilian W,female,19
2,0, Mr. William John,male,23
2,0, Mr. William Hull,male,26
2,0, Mr. Solomon,male,42
2,0, Mr. James H,male,27
2,1,"Brown, Miss. Amelia ""Mildred""",female,24
2,1, Miss. Edith Eileen,female,15
2,0, Mr. Thomas William Solomon,male,60
2,1, Mrs. Thomas William Solomon (Elizabeth Catherine Ford),female,40
2,1, Miss. Dagmar Jenny Ingeborg ,female,20
2,0, Mr. Kurt Arnold Gottfrid,male,25
2,1, Miss. Kate,female,36
2,0, Mr. Reginald Fenton,male,25
2,0, Rev. Thomas Roussel Davids,male,42
2,1, Mrs. (Karolina),female,42
2,1, Master. Alden Gates,male,0
2,1, Mr. Albert Francis,male,26
2,1, Mrs. Albert Francis (Sylvia Mae Harbaugh),female,22
2,1, Miss. Clear Annie,female,35
2,0, Mr. William,male,
2,0, Mr. William,male,19
2,0, Mrs. Ernest Courtenay (Lilian Hughes),female,44
2,0, Rev. Ernest Courtenay,male,54
2,0, Mr. Charles Henry,male,52
2,0, Mr. John Henry,male,37
2,0, Mrs. John Henry (Sara Elizabeth Lawry),female,29
2,1, Miss. Julie Rachel,female,25
2,1, Mrs. (Alice Frances),female,45
2,0, Mr. Charles Valentine,male,29
2,1, Mrs. Charles V (Ada Maria Winfield),female,28
2,0, Mr. Reginald Charles,male,29
2,0, Mr. Erik Gustaf,male,28
2,1, Mr. Sidney C Stuart,male,24
2,1,"Collyer, Miss. Marjorie ""Lottie""",female,8
2,0, Mr. Harvey,male,31
2,1, Mrs. Harvey (Charlotte Annie Tate),female,31
2,1, Mrs. (Selena Rogers),female,22
2,0, Mrs. Walter H (Irene Colvin),female,30
2,0, Mrs. Percy C (Mary Phyllis Elizabeth Miller),female,
2,0,"Cotterill, Mr. Henry ""Harry""",male,21
2,0, Mr. Alfred Fleming,male,
2,1, Master. John Morgan Jr,male,8
2,0, Mr. Charles Henry,male,18
2,1, Mrs. John Morgan (Elizabeth Agnes Mary White) ,female,48
2,1, Miss. Mary,female,28
2,0, Mr. Jose Joaquim,male,32
2,0, Mr. Percy William,male,17
2,0, Mr. Sebastiano,male,29
